user_id,order_id,channel,order_value,date,payment_status,discount,final_price,cac,profit
7999476853921506700,1472943861,(direct),134.85,20160903,success,26.189483607216534,108.66051639278346,50.0,58.660516392783464
5157028803252486506,1472971568,google,24.97,20160903,success,4.849472789560228,20.12052721043977,300.0,-279.8794727895602
4962329323479469422,1472943476,(direct),16.09,20160903,failed,3.1248705319993624,12.965129468000637,50.0,-37.03487053199936
2139819648016556317,1472912033,(direct),14.96,20160903,failed,2.9054110104854236,12.054588989514578,50.0,-37.94541101048542
889484015663276580,1472908509,google,81.49,20160903,failed,15.826333104576012,65.66366689542399,300.0,-234.336333104576
3189657412693012023,1472914693,google,34.97,20160903,success,6.791592448975619,28.178407551024378,300.0,-271.8215924489756
6207999688575993846,1472936130,sites.google.com,18.37,20160903,failed,3.5676738143460716,14.802326185653929,200.0,-185.19767381434608
3106406359613748642,1472945051,google,75.4,20160903,success,14.643582231992042,60.756417768007964,300.0,-239.24358223199204
5804926577039377233,1472965328,(direct),58.66,20160903,failed,11.392473922130677,47.26752607786932,50.0,-2.73247392213068
6786160026514884079,1472957000,(direct),82.14,20160903,failed,15.952570882438014,66.18742911756199,50.0,16.18742911756199
5021173685677286713,1472949601,(direct),105.63,20160903,failed,20.514609962404762,85.11539003759523,50.0,35.11539003759523
9275813847347927121,1472949489,google,45.47,20160903,failed,8.830818091361778,36.63918190863822,300.0,-263.3608180913618
806020265191525997,1472936633,google,219.03,20160903,success,42.53824690017529,176.4917530998247,300.0,-123.5082469001753
6736977205570964943,1501376885,(direct),18.77,20170729,failed,3.645358600722687,15.124641399277312,50.0,-34.87535860072269
1393633173328801040,1501361792,(direct),68.55,20170729,failed,13.313230265292498,55.2367697347075,50.0,5.236769734707501
4683498388367209057,1501351234,google,22.99,20170729,failed,4.464933096995981,18.525066903004017,300.0,-281.474933096996
8669188840409334896,1501361621,google,9.99,20170729,success,1.9401775397559746,8.049822460244025,300.0,-291.950177539756
2459432206617896206,1501393054,google,17.79,20170729,failed,3.4550308740999784,14.33496912590002,300.0,-285.66503087409995
3948753572772915413,1501382038,google,56.17,20170729,success,10.908886126936245,45.261113873063756,300.0,-254.73888612693625
4370296679036736835,1501392225,(direct),43.28,20170729,success,8.405493885949808,34.87450611405019,50.0,-15.125493885949808
7824102392765552707,1501373563,(direct),198.28,20170729,failed,38.508348606888354,159.77165139311165,50.0,109.77165139311165
7012131705583674177,1501366318,(direct),245.99,20170729,success,47.77420150195918,198.21579849804084,50.0,148.21579849804084
5239443997664471780,1501364305,(direct),40.79,20170729,failed,7.9219060907553756,32.86809390924462,50.0,-17.13190609075538
7409212089173005419,1501387905,google,29.28,20170729,failed,5.686526362768262,23.59347363723174,300.0,-276.40652636276826
326671467950015369,1501316071,(direct),55.43,20170729,success,10.765169272139508,44.66483072786049,50.0,-5.33516927213951
4624790961997446284,1501363092,google,12.39,20170729,failed,2.4062862580156685,9.983713741984332,300.0,-290.01628625801567
3971437232101672363,1501381732,google,16.99,20170729,failed,3.2996613013467475,13.690338698653251,300.0,-286.30966130134675
1741172694620038876,1501351286,google,66.15,20170729,success,12.847121547032806,53.3028784529672,300.0,-246.6971215470328
372706149688864468,1501336977,(direct),52.3,20170729,success,10.157285818742489,42.14271418125751,50.0,-7.85728581874249
9972641923092309898,1501390392,google,40.14,20170729,failed,7.795668312893375,32.344331687106624,300.0,-267.6556683128934
9179364299608933418,1501353665,google,28.38,20170729,failed,5.511735593420877,22.868264406579122,300.0,-277.1317355934209
2219981041933608843,1501342522,(direct),21.35,20170729,failed,4.146425472851858,17.20357452714814,50.0,-32.79642547285186
3724383329494779540,1500822297,(direct),5.97,20170723,success,1.1594454366709879,4.810554563329012,50.0,-45.18944543667099
8364082612050395902,1500871958,(direct),49.56,20170723,failed,9.625145032062674,39.934854967937326,50.0,-10.065145032062674
4787370740481074044,1500875869,google,13.59,20170723,failed,2.639340617145515,10.950659382854486,300.0,-289.0493406171455
6052206455243513477,1500844993,(direct),1794.4,20170723,failed,348.4939516854976,1445.9060483145024,50.0,1395.9060483145024
546450430035162938,1500871732,(direct),20.99,20170723,success,4.0765091651129035,16.913490834887096,50.0,-33.0865091651129
572135527461851083,1500795508,(direct),18.99,20170723,success,3.6880852332298253,15.301914766770173,50.0,-34.698085233229826
956108016718766611,1500857712,(direct),2.99,20170723,failed,0.5806937781652016,2.4093062218347985,50.0,-47.5906937781652
1931723981901564088,1500876134,(direct),10.79,20170723,failed,2.095547112509206,8.694452887490794,50.0,-41.3055471125092
2618807484848182971,1500869814,google,37.04,20170723,failed,7.193611218474604,29.846388781525395,300.0,-270.1536112184746
5991536664355896877,1500855705,(direct),49.98,20170723,failed,9.706714057758118,40.27328594224188,50.0,-9.726714057758123
5952422370450576468,1500860215,(direct),11.19,20170723,success,2.1732318988858212,9.016768101114177,50.0,-40.98323189888582
7985347873719599013,1500837727,google,17.97,20170723,failed,3.4899890279694556,14.480010972030543,300.0,-285.5199890279695
3123912150867532904,1500872304,google,34.0,20170723,failed,6.603206842012326,27.396793157987673,300.0,-272.60320684201236
7303461177926085857,1500826999,google,99.95,20170723,success,19.411485995856825,80.53851400414318,300.0,-219.46148599585683
4702607995709465702,1500860640,(direct),39.93,20170723,success,7.754883800045652,32.175116199954346,50.0,-17.824883800045654
953713676730854570,1500871409,google,39.58,20170723,failed,7.686909611966113,31.893090388033883,300.0,-268.1069096119661
3978330627656387084,1501480523,(direct),71.99,20170730,failed,13.98131942813139,58.0086805718686,50.0,8.008680571868602
8009185599443907717,1501451486,google,13.29,20170730,failed,2.5810770273630532,10.708922972636946,300.0,-289.29107702736303
3004433257206076818,1501471071,(direct),13.59,20170730,failed,2.639340617145515,10.950659382854486,50.0,-39.04934061714552
713731982901764318,1501459755,(direct),399.8,20170730,failed,77.6459439834273,322.1540560165727,50.0,272.1540560165727
